config_id,src,dst,size,repetition,duration_ns,duration_us
24,0,3,477219157,2,95550032.0,95550.032
24,0,3,477219157,3,96425703.0,96425.703
24,0,3,477219157,4,96276352.0,96276.352
25,0,3,596523690,0,120839877.0,120839.877
25,0,3,596523690,1,120166726.0,120166.726
25,0,3,596523690,2,120166904.0,120166.904
25,0,3,596523690,3,119657428.0,119657.428
25,0,3,596523690,4,120470784.0,120470.784
26,0,3,715828224,0,144609163.0,144609.163
26,0,3,715828224,1,143839564.0,143839.564
26,0,3,715828224,2,145025684.0,145025.684
26,0,3,715828224,3,145061478.0,145061.478
26,0,3,715828224,4,143975792.0,143975.792
27,0,3,835132757,0,167695490.0,167695.49
27,0,3,835132757,1,169951039.0,169951.039
27,0,3,835132757,2,169126361.0,169126.361
27,0,3,835132757,3,168325882.0,168325.882
27,0,3,835132757,4,169649632.0,169649.632
28,0,3,954437290,0,192153691.0,192153.691
28,0,3,954437290,1,193448330.0,193448.33
28,0,3,954437290,2,191495372.0,191495.372
28,0,3,954437290,3,191805252.0,191805.252
28,0,3,954437290,4,191744332.0,191744.332
29,0,3,1073741824,0,216985716.0,216985.716
29,0,3,1073741824,1,216475110.0,216475.11
29,0,3,1073741824,2,217720035.0,217720.035
29,0,3,1073741824,3,215967547.0,215967.547
29,0,3,1073741824,4,216911519.0,216911.519
30,1,0,1024,0,7488.0,7.488
30,1,0,1024,1,7040.0,7.04
30,1,0,1024,2,6944.0,6.944
30,1,0,1024,3,6816.0,6.816
30,1,0,1024,4,7264.0,7.264
31,1,0,119305557,0,26608451.0,26608.451
31,1,0,119305557,1,26207210.0,26207.21
31,1,0,119305557,2,25456112.0,25456.112
31,1,0,119305557,3,26344624.0,26344.624
31,1,0,119305557,4,26545273.0,26545.273
32,1,0,238610090,0,52825174.0,52825.174
32,1,0,238610090,1,52892242.0,52892.242
32,1,0,238610090,2,52993691.0,52993.691
32,1,0,238610090,3,53032038.0,53032.038
32,1,0,238610090,4,52568276.0,52568.276
33,1,0,357914624,0,78326718.0,78326.718
33,1,0,357914624,1,79805455.0,79805.455
33,1,0,357914624,2,78990008.0,78990.008
33,1,0,357914624,3,79061191.0,79061.191
33,1,0,357914624,4,79106828.0,79106.828
34,1,0,477219157,0,105698803.0,105698.803
34,1,0,477219157,1,106008827.0,106008.827
34,1,0,477219157,2,105373595.0,105373.595
34,1,0,477219157,3,106736589.0,106736.589
34,1,0,477219157,4,105628198.0,105628.198
35,1,0,596523690,0,132362435.0,132362.435
35,1,0,596523690,1,132348712.0,132348.712
35,1,0,596523690,2,131701196.99999999,131701.197
35,1,0,596523690,3,133187481.0,133187.481
35,1,0,596523690,4,132269314.00000001,132269.314
36,1,0,715828224,0,158759666.0,158759.666
36,1,0,715828224,1,159291131.0,159291.131
36,1,0,715828224,2,159664934.0,159664.934
36,1,0,715828224,3,159637963.0,159637.963
36,1,0,715828224,4,158992846.0,158992.846
