timestamp_abs,elapsed_s,gpu_id,temperature,power,clock_graphics
1769073712.8928761,0.0002796649932861328,0,33.0,34.22,1590.0
1769073712.8928761,0.0002796649932861328,1,33.0,33.73,1590.0
1769073712.8928761,0.0002796649932861328,2,33.0,33.92,1590.0
1769073712.8928761,0.0002796649932861328,3,33.0,34.8,1590.0
1769073714.3849247,1.49232816696167,0,33.0,34.22,1590.0
1769073714.3849247,1.49232816696167,1,33.0,33.73,1590.0
1769073714.3849247,1.49232816696167,2,34.0,34.1,1590.0
1769073714.3849247,1.49232816696167,3,34.0,34.61,1590.0
1769073715.875715,2.9831185340881348,0,34.0,34.31,1590.0
1769073715.875715,2.9831185340881348,1,33.0,33.46,1590.0
1769073715.875715,2.9831185340881348,2,34.0,34.0,1590.0
1769073715.875715,2.9831185340881348,3,34.0,34.61,1590.0
1769073717.3681488,4.475552320480347,0,34.0,34.41,1590.0
1769073717.3681488,4.475552320480347,1,34.0,33.53,1590.0
1769073717.3681488,4.475552320480347,2,34.0,34.0,1590.0
1769073717.3681488,4.475552320480347,3,34.0,34.68,1590.0
1769073718.8569899,5.964393377304077,0,34.0,34.51,1590.0
1769073718.8569899,5.964393377304077,1,34.0,33.63,1590.0
1769073718.8569899,5.964393377304077,2,35.0,34.2,1590.0
1769073718.8569899,5.964393377304077,3,35.0,34.68,1590.0
1769073720.345716,7.453119516372681,0,35.0,34.61,1590.0
1769073720.345716,7.453119516372681,1,34.0,33.53,1590.0
1769073720.345716,7.453119516372681,2,35.0,34.2,1590.0
1769073720.345716,7.453119516372681,3,35.0,34.78,1590.0
1769073721.8369539,8.94435739517212,0,35.0,34.51,1590.0
1769073721.8369539,8.94435739517212,1,34.0,33.63,1590.0
1769073721.8369539,8.94435739517212,2,35.0,34.29,1590.0
1769073721.8369539,8.94435739517212,3,35.0,34.68,1590.0
1769073723.3270311,10.434434652328491,0,35.0,34.61,1590.0
1769073723.3270311,10.434434652328491,1,35.0,33.73,1590.0
1769073723.3270311,10.434434652328491,2,35.0,34.29,1590.0
1769073723.3270311,10.434434652328491,3,35.0,34.88,1590.0
1769073724.8162847,11.923688173294067,0,36.0,34.51,1590.0
1769073724.8162847,11.923688173294067,1,35.0,33.63,1590.0
1769073724.8162847,11.923688173294067,2,36.0,34.29,1590.0
1769073724.8162847,11.923688173294067,3,36.0,34.9,1590.0
1769073726.3065996,13.414003133773804,0,36.0,34.41,1590.0
1769073726.3065996,13.414003133773804,1,35.0,33.75,1590.0
1769073726.3065996,13.414003133773804,2,36.0,34.78,1590.0
1769073726.3065996,13.414003133773804,3,36.0,35.07,1590.0
1769073727.7966726,14.904076099395752,0,36.0,34.51,1590.0
1769073727.7966726,14.904076099395752,1,35.0,33.73,1590.0
1769073727.7966726,14.904076099395752,2,36.0,34.39,1590.0
1769073727.7966726,14.904076099395752,3,36.0,34.88,1590.0
1769073729.2870274,16.3944308757782,0,36.0,34.7,1590.0
1769073729.2870274,16.3944308757782,1,36.0,33.83,1590.0
1769073729.2870274,16.3944308757782,2,37.0,34.39,1590.0
1769073729.2870274,16.3944308757782,3,36.0,35.0,1590.0
1769073730.7788095,17.886213064193726,0,37.0,34.7,1590.0
1769073730.7788095,17.886213064193726,1,36.0,33.83,1590.0
1769073730.7788095,17.886213064193726,2,37.0,34.41,1590.0
1769073730.7788095,17.886213064193726,3,37.0,35.07,1590.0
1769073732.306143,19.413546562194824,0,37.0,34.8,1590.0
1769073732.306143,19.413546562194824,1,36.0,34.12,1590.0
1769073732.306143,19.413546562194824,2,37.0,34.39,1590.0
1769073732.306143,19.413546562194824,3,37.0,35.07,1590.0
1769073733.7946851,20.90208864212036,0,37.0,34.8,1590.0
1769073733.7946851,20.90208864212036,1,36.0,33.92,1590.0
1769073733.7946851,20.90208864212036,2,37.0,34.49,1590.0
1769073733.7946851,20.90208864212036,3,37.0,35.27,1590.0
1769073735.2831259,22.39052939414978,0,37.0,34.7,1590.0
1769073735.2831259,22.39052939414978,1,37.0,34.02,1590.0
1769073735.2831259,22.39052939414978,2,37.0,34.59,1590.0
1769073735.2831259,22.39052939414978,3,37.0,35.07,1590.0
1769073736.770834,23.87823748588562,0,37.0,34.9,1590.0
1769073736.770834,23.87823748588562,1,37.0,34.12,1590.0
1769073736.770834,23.87823748588562,2,38.0,34.59,1590.0
1769073736.770834,23.87823748588562,3,38.0,35.17,1590.0
1769073738.2601933,25.367596864700317,0,38.0,34.8,1590.0
1769073738.2601933,25.367596864700317,1,37.0,33.92,1590.0
1769073738.2601933,25.367596864700317,2,38.0,34.78,1590.0
1769073738.2601933,25.367596864700317,3,38.0,35.07,1590.0
1769073739.7481616,26.855565071105957,0,38.0,34.7,1590.0
1769073739.7481616,26.855565071105957,1,37.0,33.92,1590.0
1769073739.7481616,26.855565071105957,2,38.0,34.68,1590.0
1769073739.7481616,26.855565071105957,3,38.0,35.17,1590.0
1769073741.2377334,28.345136880874634,0,38.0,34.8,1590.0
1769073741.2377334,28.345136880874634,1,37.0,34.22,1590.0
1769073741.2377334,28.345136880874634,2,38.0,34.59,1590.0
1769073741.2377334,28.345136880874634,3,38.0,35.27,1590.0
1769073742.727539,29.83494257926941,0,38.0,34.9,1590.0
1769073742.727539,29.83494257926941,1,37.0,34.12,1590.0
1769073742.727539,29.83494257926941,2,38.0,34.68,1590.0
1769073742.727539,29.83494257926941,3,38.0,35.44,1590.0
1769073744.2863815,31.393784999847412,0,38.0,34.96,1590.0
1769073744.2863815,31.393784999847412,1,38.0,39.6,1590.0
1769073744.2863815,31.393784999847412,2,39.0,41.11,1590.0
1769073744.2863815,31.393784999847412,3,39.0,41.5,1590.0
1769073745.9669166,33.07432007789612,0,39.0,40.65,1590.0
1769073745.9669166,33.07432007789612,1,38.0,39.41,1590.0
1769073745.9669166,33.07432007789612,2,39.0,39.39,1590.0
1769073745.9669166,33.07432007789612,3,40.0,41.89,1590.0
1769073747.7471614,34.854564905166626,0,40.0,40.97,1590.0
1769073747.7471614,34.854564905166626,1,39.0,39.22,1590.0
1769073747.7471614,34.854564905166626,2,40.0,41.11,1590.0
1769073747.7471614,34.854564905166626,3,40.0,41.6,1590.0
1769073749.3578863,36.4652898311615,0,40.0,41.04,1590.0
1769073749.3578863,36.4652898311615,1,39.0,39.22,1590.0
1769073749.3578863,36.4652898311615,2,40.0,34.76,1590.0
1769073749.3578863,36.4652898311615,3,40.0,40.65,1590.0
1769073750.9507709,38.05817437171936,0,40.0,41.04,1590.0
1769073750.9507709,38.05817437171936,1,39.0,40.85,1590.0
1769073750.9507709,38.05817437171936,2,40.0,40.14,1590.0
1769073750.9507709,38.05817437171936,3,40.0,40.72,1590.0
1769073752.4997506,39.60715413093567,0,41.0,41.14,1590.0
1769073752.4997506,39.60715413093567,1,40.0,39.31,1590.0
1769073752.4997506,39.60715413093567,2,41.0,41.4,1590.0
1769073752.4997506,39.60715413093567,3,41.0,41.99,1590.0
1769073754.0844326,41.19183611869812,0,41.0,40.55,1590.0
1769073754.0844326,41.19183611869812,1,40.0,39.87,1590.0
1769073754.0844326,41.19183611869812,2,41.0,41.4,1590.0
1769073754.0844326,41.19183611869812,3,41.0,40.75,1590.0
1769073755.749658,42.85706162452698,0,41.0,40.65,1590.0
1769073755.749658,42.85706162452698,1,40.0,39.87,1590.0
1769073755.749658,42.85706162452698,2,41.0,41.31,1590.0
1769073755.749658,42.85706162452698,3,41.0,40.85,1590.0
1769073757.3155718,44.422975301742554,0,41.0,40.67,1590.0
1769073757.3155718,44.422975301742554,1,40.0,39.39,1590.0
1769073757.3155718,44.422975301742554,2,41.0,41.99,1590.0
1769073757.3155718,44.422975301742554,3,41.0,40.82,1590.0
1769073758.9238305,46.0312340259552,0,41.0,41.23,1590.0
1769073758.9238305,46.0312340259552,1,41.0,41.23,1590.0
1769073758.9238305,46.0312340259552,2,42.0,41.89,1590.0
1769073758.9238305,46.0312340259552,3,42.0,42.08,1590.0
1769073760.5183954,47.62579894065857,0,42.0,40.77,1590.0
1769073760.5183954,47.62579894065857,1,41.0,39.51,1590.0
1769073760.5183954,47.62579894065857,2,42.0,40.72,1590.0
1769073760.5183954,47.62579894065857,3,42.0,42.18,1590.0
1769073762.0792384,49.18664193153381,0,42.0,41.33,1590.0
1769073762.0792384,49.18664193153381,1,41.0,39.51,1590.0
