src,dst,slope,intercept,r_squared,bandwidth_gbps
0,1,2.2004935952882527e-07,0.0010000000331719112,0.9998592955680068,4.544434949236948
0,2,2.0791628691523016e-07,0.18169087877089476,0.9997300303428337,4.809628023069262
0,3,2.0192407994624552e-07,0.1569453824020428,0.9994047112485202,4.952356352279586
1,0,2.2169482919228642e-07,0.0010000000048599222,0.9998705658965297,4.510705114969789
1,2,1.9776623377064847e-07,0.15732228185845543,0.9995359326720906,5.056474914518068
1,3,1.993169484089587e-07,0.15782073465956614,0.9995114599598236,5.017134809570729
2,0,5.763119577804708e-07,0.0010000000000625804,0.9999347741060077,1.7351713538120281
2,1,5.776732246825997e-07,0.24913372578812257,0.9999400754201281,1.7310824827469649
2,3,5.739038820910413e-07,0.3929181937469366,0.9998421145185536,1.7424520572268314
3,0,5.971799927267377e-07,0.14379801178400592,0.9999305690218878,1.6745370109168876
3,1,6.451870082775659e-07,0.09691206521233653,0.9999488788077222,1.5499382150760697
3,2,5.740600163924903e-07,0.4829628399257899,0.9998264696454077,1.7419781406902417
