factor,pearson_r,pearson_p,spearman_r,spearman_p
src_temp,-0.43013763897097923,3.151663994766745e-12,-0.5888272676495064,8.647282797465562e-24
dst_temp,0.08707758962623008,0.17878271112490918,0.3617005090008343,7.891876998809225e-09
src_power,-0.13055450532608304,0.04331717994926488,-0.392221102825091,3.0007315832079373e-10
dst_power,0.021083787190236375,0.7452117442640228,0.19885940235996255,0.001964097512319882
src_clock_graphics,-0.035585068039922375,0.583295685988206,-0.01505960290530889,0.8164622946124958
dst_clock_graphics,-0.03758434625175153,0.5623064240280284,-0.014954340070462837,0.8177226842617802
