config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
97,3,0,113025456,67.360097,1.677928937661714,1105.706476130127,58.0,55.0,45.91,43.35,1590.0,1590.0
98,3,1,1073741824,694.1815180000001,1.5467738569208058,1109.252808449951,58.0,55.0,45.91,42.08,1590.0,1590.0
100,3,0,226050911,136.782103,1.6526351477429762,1147.9693564631348,58.0,55.0,46.21,45.46,1590.0,1590.0
103,3,0,904203641,540.992211,1.6713801467282121,1181.2428215270995,57.0,55.0,44.49,43.9,1590.0,1590.0
104,3,0,1017229096,606.934137,1.6760123281712855,1208.437839526123,57.0,55.0,45.82,43.93,1590.0,1590.0
112,3,0,791178186,474.661501,1.6668261157333675,1305.9738075161133,57.0,55.0,45.91,43.15,1590.0,1590.0
124,3,0,452101821,266.16918,1.698550602289867,1432.9090854069825,57.0,55.0,44.19,43.15,1590.0,1590.0
127,3,0,960716368,574.724174,1.6716129431507087,1452.6739225881347,57.0,55.0,44.19,43.15,1590.0,1590.0
130,3,1,847690913,547.766795,1.547539793827773,1504.7438690100098,57.0,54.0,44.29,41.89,1590.0,1590.0
132,3,2,904203641,522.93115,1.729106481799755,1536.332889722168,57.0,56.0,45.62,43.32,1590.0,1590.0
135,3,0,621640003,371.840846,1.6717905245944926,1568.4854357441407,57.0,55.0,45.62,43.74,1590.0,1590.0
136,3,2,56512728,32.885218,1.7184842137886998,1587.2317413000487,57.0,56.0,45.82,43.29,1590.0,1590.0
138,3,1,169538183,109.23358900000001,1.552070059695649,1590.3255286411134,57.0,53.0,44.29,42.47,1590.0,1590.0
140,3,1,226050911,143.545111,1.5747726232208632,1605.703459428955,57.0,53.0,44.29,42.47,1590.0,1590.0
143,3,2,339076366,193.684459,1.7506637742163917,1641.6686569350586,57.0,56.0,45.62,44.75,1590.0,1590.0
151,3,1,960716368,620.011301,1.5495142853855821,1727.7659898811035,57.0,54.0,43.9,41.79,1590.0,1590.0
153,3,1,1,0.007679,0.00013022528975126967,1764.1303781940917,56.0,54.0,44.0,43.9,1590.0,1590.0
161,3,0,734665458,439.485863,1.6716475314701988,1962.3502471220704,58.0,56.0,45.82,43.25,1590.0,1590.0
162,3,2,847690913,487.778341,1.7378609129346314,2035.7896440671386,58.0,58.0,44.46,45.04,1590.0,1590.0
164,3,2,960716368,551.14817,1.743118131010033,2081.194586309082,58.0,57.0,46.01,43.59,1590.0,1590.0
174,3,2,169538183,97.405155,1.740546308868355,2442.0967510710448,57.0,57.0,45.82,44.85,1590.0,1590.0
179,3,2,113025456,65.537809,1.7245839878473814,2619.9707627600096,55.0,55.0,45.24,44.26,1590.0,1590.0
186,3,2,226050911,131.201531,1.7229289115536313,2859.710643653076,56.0,56.0,38.92,38.34,1590.0,1590.0
188,3,0,508614548,301.947005,1.684449719910287,2929.348361907959,56.0,54.0,38.83,37.19,1590.0,1590.0
191,3,1,395589093,254.670467,1.5533371327268977,2983.67414577417,56.0,53.0,38.83,36.83,1590.0,1590.0
199,3,0,339076366,200.962612,1.6872609418512134,3299.2923326411133,56.0,52.0,44.0,37.1,1590.0,1590.0
203,3,1,508614548,329.25003399999997,1.5447668807226305,3396.196155550049,55.0,52.0,45.46,41.99,1590.0,1590.0
204,3,1,791178186,506.471647,1.5621371713232348,3412.7598847641602,56.0,52.0,44.0,36.51,1590.0,1590.0
209,3,2,1,0.008064,0.0001240079365079365,3474.1451386049803,57.0,58.0,44.26,45.04,1590.0,1590.0
210,3,2,452101821,258.281457,1.7504230704413286,3474.3335470280763,57.0,58.0,44.26,45.04,1590.0,1590.0
211,3,2,791178186,457.694493,1.7286163545778122,3487.50560303418,57.0,58.0,44.26,45.14,1590.0,1590.0
214,3,2,395589093,228.157987,1.73383846080304,3527.2431808759766,57.0,56.0,39.31,38.24,1590.0,1590.0
218,3,2,734665458,422.203191,1.7400755694430552,3562.904489839111,56.0,56.0,38.83,37.95,1590.0,1590.0
228,3,2,678152731,387.36042499999996,1.7507021554925235,3624.2127538881837,56.0,56.0,38.83,38.15,1590.0,1590.0
229,3,2,621640003,357.12525400000004,1.7406778043201614,3643.869158812012,58.0,57.0,45.82,43.78,1590.0,1590.0
231,3,1,678152731,438.775868,1.5455561266190692,3668.2936175981445,56.0,53.0,39.02,36.73,1590.0,1590.0
232,3,2,282563638,161.911157,1.7451770664575015,3690.316874550049,57.0,57.0,44.29,44.65,1590.0,1590.0
