config_id,src,dst,size,repetition,gpu_total_duration_us,gpu_timestamp_us,base_time_ns,nccl_kernel_duration_us,nccl_kernel_timestamp_us,cuda_runtime_overhead_us,num_cuda_calls,num_related_events,sender_rank,timestamp_start_ns,timestamp_end_ns,duration_ns,cpu_duration_us,cpu_vs_gpu_total_us,cpu_vs_nccl_kernel_us
12,3,0,1048576,0,25.49,1824474988415.514,1767189312000000000,,,0.0,0,1,1,4675189593004,4675190417113,824109,824.109,798.619,
13,1,3,536870912,0,745.017,1824474989565.429,1767189312000000000,108297.415,1824474990058.638,254.922,12,17,1,4675195465817,4675195505564,39747,39.747,-705.2700000000001,-108257.66799999999
14,3,2,262144,0,281.623,1824475101858.561,1767189312000000000,,,0.0,0,1,1,4675197116219,4675197155575,39356,39.356,-242.267,
15,3,2,65536,0,43.384,1824475103885.444,1767189312000000000,,,0.0,0,1,1,4675198815887,4675198854431,38544,38.544,-4.840000000000003,
16,3,1,524288,0,1465.947,1824475105231.206,1767189312000000000,121925.684,1824475106187.776,517.036,12,17,1,4675200265843,4675200302243,36400,36.4,-1429.5469999999998,-121889.284
17,1,0,16,0,718.245,1824475229879.538,1767189312000000000,8.224,1824475230410.283,232.035,12,17,1,4675201435367,4675202614471,1179104,1179.104,460.85900000000004,1170.88
18,3,1,256,0,729.407,1824475232135.969,1767189312000000000,8.384,1824475232649.443,228.029,12,17,1,4675537724827,4675537966273,241446,241.446,-487.961,233.062
19,0,1,256,0,723.776,1824475234426.114,1767189312000000000,1791.114,1824475234932.714,230.712,12,17,1,4675539393715,4675541134011,1740296,1740.296,1016.5200000000001,-50.817999999999984
0,3,0,2097152,0,159.578,1824473406942.023,1767189312000000000,,,0.0,0,1,2,4673707567798,4673820834815,113267017,113267.017,113107.43900000001,
1,3,1,536870912,0,30.429,1824473418219.24,1767189312000000000,,,0.0,0,1,2,4673838262518,4673838304690,42172,42.172,11.742999999999999,
2,3,0,1073741824,0,25.569,1824473423475.56,1767189312000000000,,,0.0,0,1,2,4673840482589,4673841188811,706222,706.222,680.653,
3,0,3,2,0,24.547,1824473425163.271,1767189312000000000,,,0.0,0,1,2,4674978375969,4675001572035,23196066,23196.066,23171.519,
4,3,1,1024,0,24.678,1824473426246.585,1767189312000000000,,,0.0,0,1,2,4675003604925,4675003645423,40498,40.498,15.819999999999997,
5,3,1,1,0,24.747,1824473427415.778,1767189312000000000,,,0.0,0,1,2,4675004787174,4675004826540,39366,39.366,14.619,
6,0,1,131072,0,23.856,1824473428634.73,1767189312000000000,,,0.0,0,1,2,4675005913265,4675144139322,138226057,138226.057,138202.201,
7,1,3,256,0,25.249,1824473429828.344,1767189312000000000,,,0.0,0,1,2,4675147259047,4675147297732,38685,38.685,13.436000000000003,
8,1,0,64,0,24.317,1824473431001.607,1767189312000000000,,,0.0,0,1,2,4675149970595,4675175477647,25507052,25507.052,25482.735,
9,2,1,4096,0,1549697.275,1824473432138.956,1767189312000000000,12.768,1824474981135.005,144.788,16,22,2,4675177327684,4675177384504,56820,56.82,-1549640.4549999998,44.052
10,3,0,32,0,26.201,1824474985172.657,1767189312000000000,,,0.0,0,1,2,4675178867183,4675180282822,1415639,1415.639,1389.4379999999999,
11,0,1,16,0,25.399,1824474988164.076,1767189312000000000,,,0.0,0,1,2,4675184591610,4675185483069,891459,891.459,866.06,
12,3,0,1048576,0,24.878,1824474989287.393,1767189312000000000,,,0.0,0,1,2,4675189593004,4675190417113,824109,824.109,799.231,
13,1,3,536870912,0,57.821,1824474990477.444,1767189312000000000,,,0.0,0,1,2,4675195465817,4675195505564,39747,39.747,-18.073999999999998,
14,3,2,262144,0,228615.166,1824474992030.342,1767189312000000000,337.053,1824475220424.38,88.12599999999999,16,22,2,4675197116219,4675197155575,39356,39.356,-228575.81,-297.697
15,3,2,65536,0,800.914,1824475223442.24,1767189312000000000,1187.52,1824475224024.407,316.66,12,17,2,4675198815887,4675198854431,38544,38.544,-762.37,-1148.9759999999999
16,3,1,524288,0,24.588,1824475226704.467,1767189312000000000,,,0.0,0,1,2,4675200265843,4675200302243,36400,36.4,11.811999999999998,
17,1,0,16,0,73.151,1824475227880.913,1767189312000000000,,,0.0,0,1,2,4675201435367,4675202614471,1179104,1179.104,1105.953,
18,3,1,256,0,26.18,1824475229062.89,1767189312000000000,,,0.0,0,1,2,4675537724827,4675537966273,241446,241.446,215.266,
19,0,1,256,0,25.149,1824475230170.693,1767189312000000000,,,0.0,0,1,2,4675539393715,4675541134011,1740296,1740.296,1715.147,
0,3,0,2097152,0,107583.613,1824473409365.788,1767189312000000000,1613.562,1824473516275.894,152.225,16,22,3,4673707567798,4673820834815,113267017,113267.017,5683.40400000001,111653.455
1,3,1,536870912,0,137138.858,1824473534341.146,1767189312000000000,302326.766,1824473671195.807,103.288,16,22,3,4673838262518,4673838304690,42172,42.172,-137096.68600000002,-302284.594
2,3,0,1073741824,0,1832.584,1824473977458.457,1767189312000000000,691462.924,1824473978994.378,84.21300000000001,12,17,3,4673840482589,4673841188811,706222,706.222,-1126.362,-690756.702
3,0,3,2,0,25490.103,1824474672257.85,1767189312000000000,8.768,1824474697074.001,87.82900000000001,12,17,3,4674978375969,4675001572035,23196066,23196.066,-2294.0370000000003,23187.298
4,3,1,1024,0,1877.57,1824474700558.719,1767189312000000000,9.888,1824474702163.92,655.725,12,17,3,4675003604925,4675003645423,40498,40.498,-1837.072,30.61
5,3,1,1,0,928.35,1824474704125.931,1767189312000000000,7.136,1824474704832.493,414.091,12,17,3,4675004787174,4675004826540,39366,39.366,-888.984,32.23
6,0,1,131072,0,61.789,1824474707378.684,1767189312000000000,,,0.0,0,1,3,4675005913265,4675144139322,138226057,138226.057,138164.268,
7,1,3,256,0,145468.838,1824474708618.919,1767189312000000000,8.384,1824474853510.828,88.59100000000001,12,17,3,4675147259047,4675147297732,38685,38.685,-145430.153,30.301000000000002
8,1,0,64,0,31.891,1824474856433.712,1767189312000000000,,,0.0,0,1,3,4675149970595,4675175477647,25507052,25507.052,25475.161,
9,2,1,4096,0,29.097,1824474857830.176,1767189312000000000,,,0.0,0,1,3,4675177327684,4675177384504,56820,56.82,27.723,
10,3,0,32,0,1141.942,1824474858989.691,1767189312000000000,9.343,1824474859896.057,627.659,12,17,3,4675178867183,4675180282822,1415639,1415.639,273.6969999999999,1406.2959999999998
11,0,1,16,0,55.437,1824474862507.644,1767189312000000000,,,0.0,0,1,3,4675184591610,4675185483069,891459,891.459,836.0219999999999,
12,3,0,1048576,0,871.21,1824474863986.847,1767189312000000000,11342.219,1824474864641.789,417.88399999999996,12,17,3,4675189593004,4675190417113,824109,824.109,-47.101,-10518.109999999999
13,1,3,536870912,0,933.089,1824474877851.672,1767189312000000000,219851.924,1824474878529.638,384.221,12,17,3,4675195465817,4675195505564,39747,39.747,-893.3420000000001,-219812.177
14,3,2,262144,0,120328.913,1824475100511.639,1767189312000000000,217.439,1824475220515.833,480.977,16,22,3,4675197116219,4675197155575,39356,39.356,-120289.557,-178.083
15,3,2,65536,0,1252.535,1824475224162.087,1767189312000000000,46.303,1824475225155.812,569.837,12,17,3,4675198815887,4675198854431,38544,38.544,-1213.991,-7.759
16,3,1,524288,0,942.437,1824475226996.299,1767189312000000000,363.936,1824475227723.019,411.887,12,17,3,4675200265843,4675200302243,36400,36.4,-906.037,-327.536
17,1,0,16,0,24.497,1824475229763.039,1767189312000000000,,,0.0,0,1,3,4675201435367,4675202614471,1179104,1179.104,1154.607,
18,3,1,256,0,900.516,1824475231005.181,1767189312000000000,8.321,1824475231687.583,440.14,12,17,3,4675537724827,4675537966273,241446,241.446,-659.0699999999999,233.125
19,0,1,256,0,23.997,1824475233603.248,1767189312000000000,,,0.0,0,1,3,4675539393715,4675541134011,1740296,1740.296,1716.299,
