src,dst,slope,intercept,r_squared,bandwidth_gbps
0,1,2.374620339516434e-07,1.9001591808221612,0.9618122721968514,4211.199505701359
0,2,1.9653118565361508e-07,31.40909313494647,0.10694347630243162,5088.25099016343
0,3,6.953572522965295e-07,16.15768315065644,0.2798617764158872,1438.1096863480443
1,0,2.879021015137081e-07,20.96155447943154,0.30283611973759145,3473.402919750436
1,2,2.382956320317652e-07,22.14929379549209,0.1809180859626427,4196.468023663557
1,3,2.8279772160138906e-07,-1.3870771144465053,0.97273484658749,3536.0963813192484
2,0,5.538499703237928e-07,8.798281891555476,0.9036941728479875,1805.543113806394
2,1,5.591944218792012e-07,1.5563962200256896,0.9980711060085772,1788.2867941340496
2,3,5.637297362075649e-07,0.18662662795583174,0.9999168019539181,1773.8996823680075
3,0,6.398689026038774e-07,0.762369549494764,0.9995846697748463,1562.8201275770834
3,1,5.816418271524959e-07,7.132367938026277,0.8933792114207417,1719.2711275522113
3,2,5.668309826317042e-07,14.07942779953143,0.827190645732929,1764.1943200725593
