config_id,src,dst,size,elapsed_s,effective_bandwidth_gbps,num_repetitions,total_duration_s
6,0,1,131072,1.445921751953125,4108.737084963387,10,3.19008e-07
11,0,1,16,1.4873204528808595,2.2241992882562274,10,7.1936e-08
19,0,1,256,1.8428837358398438,32.88037195920779,10,7.7858e-08
29,0,1,16384,1.988143796875,1544.0726045858503,10,1.06109e-07
47,0,1,1073741824,2.052145505859375,4319.802792611337,10,0.00248562695
64,0,1,64,2.988103447998047,8.532423208191126,10,7.5008e-08
80,0,1,8192,3.1966057600097657,889.5162603832999,10,9.209499999999999e-08
83,0,1,32768,3.207393178955078,2201.6622657609537,10,1.48833e-07
103,0,1,8,3.6605523708496093,0.3601397342168762,10,2.22136e-07
136,0,1,33554432,6.2536148349609375,4564.480579231304,10,7.3512049e-05
152,0,1,512,6.5608025578613285,71.71470991960109,10,7.1394e-08
162,0,1,268435456,6.588675512939453,2316.458053175329,10,0.001158818549
175,0,1,4,7.679031660888672,0.5189009677503048,10,7.7086e-08
187,0,1,1,7.762239812988281,0.14427724315043788,10,6.931099999999999e-08
202,0,1,2097152,7.855346161865234,105.47835541598461,10,0.000198822971
219,0,1,2048,9.071415855957031,270.7275803722505,10,7.564799999999999e-08
222,0,1,134217728,9.075966166992188,4114.908638100382,10,0.00032617426000000003
236,0,1,32,9.285827439941407,1.4186409419775856,10,2.25568e-07
243,0,1,4194304,9.66387135986328,4553.816916388253,10,9.210524e-06
245,0,1,4096,9.789266018066407,496.689544782092,10,8.246599999999999e-08
251,0,1,16777216,9.826207375976562,4671.110396376354,10,3.5916975999999996e-05
257,0,1,536870912,9.84496598803711,4414.3345720223815,10,0.001216198961
266,0,1,8388608,10.005815912841797,4648.210853893906,10,1.8046961e-05
286,0,1,524288,10.29388433203125,4817.411071570008,10,1.0883190000000001e-06
290,0,1,262144,10.301262418945312,4924.547406546049,10,5.32321e-07
314,0,1,128,10.6768354609375,16.999575010624735,10,7.5296e-08
318,0,1,2,10.683448050048828,0.3080287698871075,10,6.4929e-08
327,0,1,1024,10.796756548828125,128.61574789303793,10,7.961699999999999e-08
338,0,1,67108864,11.139283147949218,4189.029122166505,10,0.00016020147399999998
364,0,1,1048576,11.726671958984374,4719.286914998233,10,2.221895e-06
366,0,1,65536,11.73032012890625,3257.4993165494443,10,2.01185e-07
27,0,2,2,1.9830192619628906,0.28974589285196883,10,6.9026e-08
33,0,2,8192,1.9979419140625,1024.4225743119039,10,7.996699999999999e-08
38,0,2,8388608,2.032334348876953,1447.9399075995454,10,5.7934780000000005e-05
58,0,2,134217728,2.419344982910156,395.66843262001834,10,0.003392176806
94,0,2,262144,3.5177036479492187,3572.310451308356,10,7.338219999999999e-07
97,0,2,2048,3.5230293239746096,270.38802265555887,10,7.5743e-08
109,0,2,512,3.670171906982422,21.928885310216632,10,2.33482e-07
116,0,2,1073741824,5.254580196044921,5041.037829869718,10,0.00213000152
128,0,2,33554432,5.494672291015625,53.882906588040754,10,0.006227286931
140,0,2,67108864,6.441851553955078,4869.912606774242,10,0.000137803015
144,0,2,268435456,6.462978599853516,4884.97732745449,10,0.0005495121840000001
158,0,2,4,6.582469508056641,0.17629377594824017,10,2.26894e-07
163,0,2,16,6.706622581054687,2.183406113537118,10,7.327999999999999e-08
170,0,2,1024,6.716941648925781,142.53897550111358,10,7.184e-08
178,0,2,1,7.684375354980468,0.13622493461203136,10,7.3408e-08
181,0,2,2097152,7.746486374023437,4803.018376340173,10,4.366321e-06
196,0,2,8,7.842763534912109,1.0530472554955905,10,7.597e-08
199,0,2,4096,7.8501221508789065,476.37323657001957,10,8.598300000000001e-08
216,0,2,64,9.003125711914063,8.333441841690647,10,7.6799e-08
224,0,2,536870912,9.111502889892579,4929.153937187497,10,0.0010891745700000002
253,0,2,16777216,9.833073662841796,2634.5002468251714,10,6.3682727e-05
260,0,2,65536,9.97353779296875,3479.9785474955265,10,1.8832299999999999e-07
264,0,2,131072,9.980153990966796,4148.255050337217,10,3.15969e-07
291,0,2,128,10.303475555908204,16.75041876046901,10,7.6416e-08
330,0,2,32,10.807991406982422,4.140786749482402,10,7.728e-08
334,0,2,16384,10.816112936035156,1499.281655212804,10,1.09279e-07
340,0,2,1048576,11.159450562011719,4515.047560651618,10,2.322403e-06
348,0,2,4194304,11.205133520019531,140.23294594911928,10,0.000299095478
353,0,2,256,11.303927193847656,33.62801634111419,10,7.6127e-08
363,0,2,524288,11.724125773925781,4891.608688472127,10,1.0718110000000001e-06
371,0,2,32768,11.79423584399414,2247.6010178954803,10,1.45791e-07
3,0,3,2,1.3032496459960938,0.2802690582959641,10,7.136e-08
23,0,3,2048,1.953982760986328,249.03026544583474,10,8.223899999999999e-08
26,0,3,256,1.960546822998047,39.15989781714163,10,6.5373e-08
31,0,3,16,1.9928074848632813,2.493765586034912,10,6.416000000000001e-08
34,0,3,524288,2.0001442458496093,4614.695364162632,10,1.1361270000000001e-06
57,0,3,64,2.4169629189453126,8.84552126380385,10,7.2353e-08
59,0,3,1073741824,2.7616702229003907,5035.172064262707,10,0.002132482883
60,0,3,32,2.9775711459960936,4.411237627856966,10,7.254199999999999e-08
61,0,3,2097152,2.9798856298828125,4054.0375442006916,10,5.172996e-06
77,0,3,8388608,3.1901620729980467,4797.187135183148,10,1.7486514e-05
82,0,3,4194304,3.200265796875,858.2311982979525,10,4.8871493e-05
91,0,3,131072,3.512386395996094,4042.4377004687885,10,3.2424e-07
105,0,3,4096,3.664170802001953,159.93877343829317,10,2.5609799999999997e-07
112,0,3,262144,3.6748678249511717,1729.6829358897467,10,1.515561e-06
115,0,3,536870912,3.679567348876953,341.8382297400503,10,0.015705408737000003
124,0,3,1048576,5.4859718898925784,4654.925650887679,10,2.2526160000000003e-06
139,0,3,8192,6.439454092041015,895.7312806158153,10,9.1456e-08
186,0,3,8,7.760010752929688,1.0912563088255354,10,7.331e-08
189,0,3,128,7.769811446044922,17.675651789659746,10,7.241599999999999e-08
190,0,3,1024,7.772467625,146.18547281863866,10,7.004799999999999e-08
195,0,3,32768,7.8402178940429685,2295.449450795786,10,1.4275199999999998e-07
234,0,3,65536,9.247508511962891,1087.2490124740987,10,6.02769e-07
235,0,3,67108864,9.249808099853515,2110.9862095910853,10,0.000317902901
258,0,3,512,9.968978777832032,69.68546268697345,10,7.3473e-08
274,0,3,134217728,10.10668833203125,1294.407622329416,10,0.001036904648
282,0,3,4,10.257247803955078,0.5129257283545343,10,7.798399999999999e-08
284,0,3,16384,10.288944593017579,1458.7024457126577,10,1.12319e-07
298,0,3,16777216,10.322958687011718,4857.939598783425,10,3.4535662000000005e-05
309,0,3,33554432,10.658011145996094,4545.251319943415,10,7.382305099999999e-05
311,0,3,1,10.668959359863281,0.14226167612706814,10,7.029299999999999e-08
370,0,3,268435456,11.736323820068359,4779.181042166956,10,0.000561676684
8,1,0,64,1.4696281931152344,8.350839650830517,10,7.6639e-08
17,1,0,16,1.82891429296875,2.1367806728188143,10,7.4879e-08
28,1,0,128,1.9534846520996094,17.353579175704986,10,7.376000000000001e-08
39,1,0,262144,1.9928621560058595,4514.540200390586,10,5.80666e-07
48,1,0,65536,2.315147865966797,3290.4553898679524,10,1.9917e-07
76,1,0,67108864,3.1570978491210937,3293.912632050719,10,0.000203736017
100,1,0,512,3.572613326904297,68.69901245169602,10,7.452799999999999e-08
117,1,0,2097152,5.138985329101563,6.5038130287554985,10,0.0032244961389999998
119,1,0,524288,5.47031225390625,4865.9309287430615,10,1.077467e-06
127,1,0,2,6.10321032397461,0.2750880281690141,10,7.2704e-08
143,1,0,2048,6.264907876953125,268.4563758389262,10,7.6288e-08
151,1,0,8192,6.550732125,903.3069060194732,10,9.068899999999999e-08
154,1,0,4096,6.563907545898437,513.6501009492997,10,7.974299999999999e-08
185,1,0,16384,7.749327005126953,1475.1190701275784,10,1.11069e-07
194,1,0,4194304,7.829452269042969,4703.162159534634,10,8.918051e-06
204,1,0,33554432,7.877123208984375,3893.6001868309913,10,8.6178422e-05
209,1,0,256,7.911865825927735,35.351791755851686,10,7.2415e-08
218,1,0,268435456,8.567333928955078,545.9112034951602,10,0.004917199982
223,1,0,32768,9.101376408935547,2254.017169271406,10,1.4537600000000002e-07
230,1,0,1024,9.227550047119141,136.8124306919449,10,7.4847e-08
232,1,0,4,9.230846862060547,0.571314308566858,10,7.0014e-08
238,1,0,32,9.317003125,4.50862979922508,10,7.0975e-08
244,1,0,536870912,9.659864217041015,4463.927338591287,10,0.00120268739
259,1,0,8,9.962572854003906,1.0993843447669305,10,7.2768e-08
269,1,0,8388608,10.004953782958985,4553.047243071354,10,1.8424161999999998e-05
294,1,0,16777216,10.303329083007812,4498.517602418857,10,3.7294987999999995e-05
307,1,0,1,10.483082805908204,0.14217672567000783,10,7.0335e-08
312,1,0,131072,10.664054313964844,3984.048244334209,10,3.28992e-07
322,1,0,1048576,10.779468755126953,4492.180488170592,10,2.334225e-06
344,1,0,134217728,11.157089548095703,4076.320136436034,10,0.00032926199
355,1,0,1073741824,11.277093005126954,4056.8960619523605,10,0.002646707748
46,1,2,262144,2.0699258701171876,4445.1679418308095,10,5.897280000000001e-07
50,1,2,4194304,2.3200799641113283,5126.401744365829,10,8.18177e-06
56,1,2,32,2.7218762509765626,4.142662955531103,10,7.724499999999999e-08
70,1,2,128,3.1481543569335937,16.54944145635085,10,7.7344e-08
102,1,2,1073741824,3.5772336821289064,3659.444233697477,10,0.00293416638
110,1,2,65536,5.124350579101563,3247.732791515932,10,2.0179e-07
122,1,2,2097152,6.091188864013672,4983.379246644661,10,4.208293e-06
126,1,2,16384,6.100924120117187,1489.6712249054406,10,1.09984e-07
130,1,2,536870912,6.108263959960937,4645.528265154164,10,0.001155672469
147,1,2,134217728,6.4619057241210935,1687.0597435010125,10,0.000795571873
167,1,2,512,7.348935544921875,67.82624822817175,10,7.548699999999999e-08
169,1,2,8192,7.354014124023437,882.4543260944502,10,9.2832e-08
174,1,2,131072,7.361905187988281,4027.9403946442453,10,3.25407e-07
182,1,2,1048576,7.741893031982422,5132.2291397470535,10,2.04312e-06
188,1,2,8,7.756201860107422,1.2059998492500188,10,6.6335e-08
205,1,2,67108864,7.887911218994141,4397.182036766346,10,0.000152617889
211,1,2,8388608,7.91629685913086,13.779229198610544,10,0.00608786448
233,1,2,268435456,9.23323544091797,3663.7105237755377,10,0.000732687406
247,1,2,16,9.787727512939453,2.1834359093328244,10,7.327899999999999e-08
262,1,2,32768,9.967351951904297,2306.2900739718893,10,1.4208100000000001e-07
299,1,2,64,10.315680583984374,3.4471057776724496,10,1.8566299999999999e-07
305,1,2,4096,10.478909896972656,526.1062231070581,10,7.785499999999999e-08
321,1,2,4,10.777088310058593,0.5570332409586543,10,7.180899999999999e-08
323,1,2,256,10.781814083007813,33.50039912584896,10,7.6417e-08
324,1,2,2048,10.784360097900391,266.1122661122661,10,7.696e-08
333,1,2,524288,10.80289313305664,4856.267674190055,10,1.079611e-06
345,1,2,33554432,11.193635208007812,4667.658156825147,10,7.1887081e-05
354,1,2,1,11.274609793945313,0.13331911262798635,10,7.5008e-08
356,1,2,16777216,11.545199899902343,4778.030898484653,10,3.5113243000000006e-05
360,1,2,1024,11.708346729003907,133.3889120466861,10,7.6768e-08
365,1,2,2,11.721563372070312,0.26596098352371705,10,7.5199e-08
7,1,3,256,1.4519765590820313,33.111726207413916,10,7.731400000000001e-08
13,1,3,536870912,1.5885626479492188,4943.122018505342,10,0.0010860968230000001
21,1,3,8,1.8411412451171876,1.0386238234339502,10,7.702499999999999e-08
41,1,3,1,2.0345633930664064,0.1445441799285952,10,6.918299999999999e-08
44,1,3,33554432,2.0407703100585937,3946.058495865459,10,8.5032779e-05
63,1,3,8192,2.7314849650878905,271.0168756968131,10,3.02269e-07
66,1,3,131072,2.9870445490722655,4561.755206593161,10,2.87328e-07
78,1,3,16,3.183455951904297,0.7540589579847773,10,2.1218500000000002e-07
84,1,3,65536,3.4929064509277343,3041.311268481479,10,2.15486e-07
87,1,3,1048576,3.4990300869140625,4647.523007671293,10,2.2562039999999998e-06
111,1,3,512,5.126767238037109,66.19862172400865,10,7.734299999999999e-08
