config_id,src,dst,start_time_s,duration_s,bandwidth_mbps,num_reps
0,3,0,0.11597965795898438,0.02009104,1043.8245108267167,10
1,3,1,0.27089957080078125,3.04493183,1763.162336544001,10
2,3,0,0.5786981418457031,6.8629090139999995,1564.557859953584,10
4,3,1,1.3018676838378906,8.2686e-05,123.84200469245096,10
3,0,3,1.3032496459960938,7.136e-05,0.28026905829596416,10
5,3,1,1.3045362568359375,7.1457e-05,0.13994430216773723,10
6,0,1,1.445921751953125,0.000319008,4108.737084963386,10
7,1,3,1.4519765590820313,7.731400000000001e-05,33.111726207413916,10
10,3,0,1.4595998208007812,7.8238e-05,4.090084102354354,10
12,3,0,1.4643455529785157,0.017986565,582.977350038765,10
8,1,0,1.4696281931152344,7.6639e-05,8.350839650830517,10
11,0,1,1.4873204528808595,7.1936e-05,2.224199288256228,10
9,2,1,1.5835649809570314,0.000537719,76.17361484344053,10
13,1,3,1.5885626479492188,1.086096823,4943.122018505343,10
14,3,2,1.8202195969238282,0.001521272,1723.1895413837892,10
15,3,2,1.8248595759277344,0.00039088400000000003,1676.609940545021,10
16,3,1,1.8274267829589843,0.00335091,1564.613791477539,10
17,1,0,1.82891429296875,7.4879e-05,2.1367806728188143,10
18,3,1,1.831391346923828,7.6736e-05,33.36113427856547,10
20,3,1,1.8352643149414063,0.043916824,955.0563128153346,10
21,1,3,1.8411412451171876,7.7025e-05,1.03862382343395,10
19,0,1,1.8428837358398438,7.7858e-05,32.880371959207785,10
22,2,0,1.9463649150390625,0.000232988,43.95076141260494,10
24,2,1,1.9509212829589844,0.000205777,24.881303547043643,10
25,3,0,1.9520253508300782,0.000115425,709.7249296079706,10
28,1,0,1.9534846520996094,7.376000000000001e-05,17.353579175704986,10
23,0,3,1.953982760986328,8.2239e-05,249.03026544583471,10
26,0,3,1.960546822998047,6.5373e-05,39.15989781714164,10
30,3,0,1.9618383039550782,6.9438e-05,2.304213831043521,10
27,0,2,1.9830192619628906,6.9026e-05,0.28974589285196883,10
29,0,1,1.988143796875,0.000106109,1544.0726045858505,10
32,3,0,1.9889111638183594,6.5696e-05,38.96736483195323,10
31,0,3,1.9928074848632813,6.416000000000001e-05,2.493765586034912,10
39,1,0,1.9928621560058595,0.000580666,4514.540200390586,10
33,0,2,1.9979419140625,7.9967e-05,1024.4225743119036,10
34,0,3,2.0001442458496093,0.001136127,4614.695364162633,10
35,2,3,2.0221254899902346,0.00010284899999999999,796.5075012882965,10
36,3,0,2.0222014768066408,0.000393492,52.04680145975013,10
37,2,3,2.025936052001953,0.061122532,1372.4248203592088,10
38,0,2,2.032334348876953,0.057934780000000005,1447.9399075995454,10
40,3,1,2.03377025,7.7154e-05,0.5184436322160874,10
41,1,3,2.0345633930664064,6.918299999999999e-05,0.1445441799285952,10
42,3,1,2.039389311035156,6.905600000000001e-05,0.28962001853568115,10
44,1,3,2.0407703100585937,0.085032779,3946.058495865459,10
43,3,2,2.041846865966797,8.780700000000001e-05,466.47761567984327,10
