src,dst,slope,intercept,r_squared,bandwidth_gbps
0,1,2.147433765827498e-07,126.92531259868021,0.050580048029741476,4.656721040309512
0,2,3.5551663023923376e-07,143.6097246368544,0.08742686962053836,2.812807939046568
0,3,2.386102296862321e-07,255.28834570713428,0.038439634426388536,4.190935155273857
1,0,1.0000000001303389e-10,312.1296083249955,-6.264512806053446e-06,9999.99999869661
1,2,8.266526008560377e-08,299.6106944359115,0.005595886733640754,12.09698002479461
1,3,1.0583878557771726e-07,318.0043606616514,0.00594673871261886,9.448332145361793
2,0,5.269296454758736e-07,162.31266820717667,0.3195849234471344,1.8977865614239513
2,1,6.903782513537935e-07,146.5939182014934,0.3867748821007757,1.4484813188119054
2,3,5.842672788504613e-07,111.40179699005313,0.44081810119164433,1.7115454453781629
3,0,8.142254267987261e-07,78.47769916498743,0.3883069304892597,1.2281611051274584
3,1,6.118521721203824e-07,126.45649225296512,0.3953416593879445,1.634381711083064
3,2,4.7242572502923365e-07,200.8684542395,0.234215912510207,2.1167348580311116
