config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
4,0,3,876523938,785.244978,1.116242653639741,1.3920090249023438,33.0,34.0,34.22,34.61,1590.0,1590.0
7,0,3,898437036,194.865441,4.610550908306004,2.184587626953125,33.0,34.0,34.22,34.61,1590.0,1590.0
10,0,2,657392953,140.856685,4.667105100478547,2.545267989990234,34.0,34.0,34.31,34.0,1590.0,1590.0
15,0,3,1051828725,337.40515600000003,3.1174056065699243,4.032433541015625,34.0,34.0,34.41,34.68,1590.0,1590.0
16,0,3,569740560,124.772523,4.566234186031487,4.371986531982422,34.0,34.0,34.41,34.68,1590.0,1590.0
23,0,2,262957182,235.493212,1.1166231916697453,4.9231074228515626,34.0,34.0,34.41,34.0,1590.0,1590.0
25,0,2,679306052,323.429843,2.1003196418086874,5.7120173410644535,34.0,35.0,34.51,34.2,1590.0,1590.0
27,0,2,591653658,141.048358,4.1946866052846925,6.038817572998047,34.0,35.0,34.51,34.2,1590.0,1590.0
28,0,1,745045347,168.622063,4.418433351749468,6.1900209958496095,34.0,34.0,34.51,33.63,1590.0,1590.0
32,0,1,262957182,59.373239,4.42888389498171,6.92489244506836,35.0,34.0,34.61,33.53,1590.0,1590.0
33,0,2,745045347,444.623016,1.6756787664811306,6.986595130859375,35.0,35.0,34.61,34.2,1590.0,1590.0
36,0,1,372522674,84.36295600000001,4.41571385905444,8.076246678955078,35.0,34.0,34.61,33.53,1590.0,1590.0
38,0,3,328696477,115.73750100000001,2.8400170572198546,8.163954489990234,35.0,35.0,34.61,34.78,1590.0,1590.0
39,0,3,153391690,33.197271,4.620611435198995,8.281881842041015,35.0,35.0,34.51,34.68,1590.0,1590.0
40,0,2,1029915627,210.79473199999998,4.885869856557895,8.318538734863282,35.0,35.0,34.51,34.29,1590.0,1590.0
46,0,3,43826197,21.226072,2.0647342098905535,9.029845220947266,35.0,35.0,34.51,34.68,1590.0,1590.0
50,0,3,219130985,282.08666999999997,0.7768214818516593,9.834008218017578,35.0,35.0,34.61,34.88,1590.0,1590.0
59,0,2,438261969,419.760982,1.0440750517398016,12.65039897290039,36.0,36.0,34.51,34.29,1590.0,1590.0
63,0,3,723132249,170.76975399999998,4.234545240370845,13.794050718017578,36.0,36.0,34.41,35.07,1590.0,1590.0
68,0,1,613566757,683.147905,0.8981462908826456,14.592813655029296,36.0,35.0,34.51,33.73,1590.0,1590.0
